分隊,網格編號,車程時間
大同,108,17.0
山仔后,108,29.0
天母,108,22.0
福安,108,5.0
社子,108,11.0
劍潭,108,17.0
雙溪,108,20.0
後港,108,13.0
陽明山,108,24.0
光明,108,15.0
關渡,108,13.0
石牌,108,14.0
秀山,108,12.0
華山,109,23.0
忠孝,109,23.0
泉州,109,26.0
古亭,109,26.0
城中,109,24.0
雙園,109,25.0
龍山,109,23.0
萬芳,109,33.0
景美,109,32.0
木柵,109,36.0
寶橋,109,37.0
金華,109,25.0
安和,109,29.0
復興,109,25.0
南港,109,29.0
舊莊,109,31.0
成德,109,29.0
信義,109,30.0
永吉,109,28.0
莊敬,109,33.0
大直,109,24.0
松江,109,24.0
建國,109,19.0
圓山,109,18.0
八德,109,26.0
中崙,109,23.0
東湖,109,24.0
大湖,109,31.0
內湖,109,23.0
民權,109,29.0
建成,109,20.0
延平,109,20.0
大同,109,19.0
山仔后,109,26.0
天母,109,19.0
福安,109,9.0
社子,109,14.0
劍潭,109,17.0
